filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
synapse-1.0_synapse-1.1,4278.343425,15761377.1,120181.8248,32950.18704,2396.393619,1081.615486,3006.759025,3006.759025,1347.23174,23580588.54,32124.12859,2531.893175,2208.758419,1.094886247,624.7918352,624.7918352,295.6516342,18545962.41,179.1015465,594.05966,15.59777371,1.103605173,3516.345952,3516.345952,2191.12818,8188930.773,428093.4212,3090.845971,1.022495463,1278.95873,0.781664033,0.781664033,4901910.998,803094.8672,392.8436438,1.891057156,3064.779078,0.740393539,0.820741248,0.763628225,0.776396981,0.874017336,0.879894307,1.103603604,100.3949289,1.096009587,0.842994362,0.885632666,1.103603604,0.861433896,0.912670287,0.856958054
synapse-1.1_synapse-1.2,43557.606,4931389.097,205334.1537,17505.70883,13201.68092,3474.277492,2541.707255,2541.707255,1509.46649,269774.8218,3.395617627,1464.463678,66.36134706,1321.17166,445.5280783,445.5280783,113.9920851,1777121.858,33.11865391,1277.152813,1.435901738,1.365864605,102.9301862,102.9301862,409.0263299,14907.82877,1.411085584,229.5639561,1.461266111,1.172861464,1285.570775,1285.570775,4505592.706,110.1901148,1289.776299,75.95159058,597.1909925,0.926180569,1.464843013,1.132243123,1.31657098,0.971975164,0.987999829,1.46484375,2.530848839,1.355192941,0.933051562,1.448354781,1.033315817,4.390306348,1.464758175,0.932933352
velocity-1.4_velocity-1.5,1902.602161,5939466.748,178840.4188,10086.84847,17174.88147,4844.768539,5595.105183,5595.105183,5619.850117,3995.340695,2470853.947,7855.002001,341.0569902,4.594782973,1119.751537,1119.751537,978.5792301,24655.85939,5.208631782,2624.43209,450.4601627,4.445889895,37.62207582,37.62207582,2092.786265,6030.056148,5.906010926,1336.458966,4.080729224,5.175363018,3.812718639,3.812718639,56937.47321,57.28605485,523.3979627,259.5776188,563.7271736,4568.221472,5.840514418,124.7900973,3.787002017,4.938516494,6.086950204,6.088785047,3.414707899,4.847812468,4.66894839,52.43641904,6.088785025,3.484775177,3.630039866,3.701329134
velocity-1.5_velocity-1.6,5190.662526,6034003.526,655083.9095,1833.397382,2941.187325,441.9287353,4472.112382,4472.112382,582.4651639,4292084.636,22104.12834,2920.851746,29.61858514,4054.787962,9254.399732,9254.399732,114.5721987,18610591.12,204256.1962,1719.423128,490.4875052,3595.305179,6482.936965,6482.936965,714.6077319,45988580.49,207623.866,600.4902621,15738.71138,1267.015722,1253.450702,1253.450702,43429020.44,1134074.411,1726.614489,547.6976324,3146.988136,71.10288147,3.300637373,3.159070876,3.702925917,3.069666275,2.674784548,3.764192139,6.089044833,2.085185756,3.34965246,2.572657757,2.481577878,2.43177604,2.919390443,2.555251008
xalan-2.4_xalan-2.5,16405.45507,3145866.63,140902.1669,27859.91765,10461.00841,7115.691106,32639.65578,32639.65578,3861.075596,5788535.136,25885.80877,3508.720677,30459.62411,4597.461221,29146.21688,29146.21688,27945.87491,7000988.34,1110253.709,77434.59606,2.321118647,0.840105637,2759.684051,2759.684051,1694.813625,21258826.25,75.40283105,7994.117767,8.104957809,0.973424978,9.866501378,9.866501378,3693310.824,763455.255,6739.28834,6329.424674,4174.557708,1.248914055,1.071050153,186.7795317,202506.4146,9537.790416,0.998809866,1.306351181,1.18844901,0.870766566,1.009298962,0.999455488,1.306351183,1.000984254,1.304273229,1.07481859
xalan-2.5_xalan-2.6,45620.73038,2923715.853,24665.06247,96840.57793,71061.51171,2591.31656,11991.5422,11991.5422,3034.646915,70065.39049,103199.6478,8935.557905,3049.192008,12.18658863,58853.81422,58853.81422,1861.741734,135392.8993,1.71636464,582.9238423,1.365296106,9.752862702,6.455454013,6.455454013,10838.51398,206734.1888,1352427.56,14775.5638,14020.98669,33.61301745,1.301579461,1.301579461,144526.992,11332.76849,11500.84558,2338.969626,2547.746904,0.966497306,136.2550857,2.250063663,1.167644526,1.193120296,1.323153574,1.501694915,0.810260663,1.501657866,0.946132329,1.238214409,1.501694915,0.815539728,1.173785779,0.872355653
xalan-2.6_xalan-2.7,37985.56242,1404557.697,278241.6656,30968.63012,19387.84984,11993.42398,22944.67461,22944.67461,112633.3926,3653656.035,214504.8454,7197.633799,82591.59694,179216.7231,37842.55535,37842.55535,3060.577216,11911755.73,521228.7157,13724.81926,4986.950815,704.8446238,1680.343016,1680.343016,688610.1823,2956941.672,25857.48988,19005.80667,2.310710261,3.027517308,190.5115933,190.5115933,1845208.393,1963086.027,8381.147229,845458.4361,55577.50287,1.620694719,2556.068563,1.448250725,1.423209755,1.942186695,2.166153078,2.261863553,236.013563,1.524308664,1.520735793,1.451586197,2.317931793,1.023402438,1.907010911,1.483523154
xerces-init_xerces-1.2,47210.64045,1051461.555,83058.56616,11983.9142,14539.26569,4099.20287,13402.12848,13402.12848,513.0261914,2532454.108,30901.61999,1018.134901,12641.20477,36.37575405,0.901389492,0.901389492,6660.765656,57648.30668,2.230483074,3994.281543,8.578542705,206.0116766,899.4279119,899.4279119,725.0388013,64046.74284,4.646726828,4076.780109,0.757057536,32.16555171,735.1715678,735.1715678,1596391.484,463.9464127,10183.19576,475.9082943,1627.85375,1.356786137,4485.310131,108.8591185,1.645288216,602.9523317,776.8227469,0.477448941,1.539220344,1.641072359,53.51630778,1.264682956,0.488636363,0.703909654,0.485658261,312.9290173
xerces-1.2_xerces-1.3,29473.51594,1003200.97,494288.901,13870.45425,10822.1339,3110.485551,4519.855673,4519.855673,1584.988058,3808.86476,167.5188767,583.6817953,6165.248369,103.6843367,4346.939216,4346.939216,418.0065085,311928.7153,21.17857249,1128.677396,12.12837148,55.37842849,11.03963897,11.03963897,948.8302165,5337.287804,31.08075976,497.727723,4.213739036,60.77378378,4.100853484,4.100853484,14076.55751,340.9462693,2750.321459,53.54403143,1858.538763,37.089881,3.789028144,72.88653817,3.801829944,3.780767337,3.781448399,3.781451918,3.646102524,3.77729879,3.780644995,3.994960556,3.781926829,3.639155345,3.465058392,3.627608028
xerces-1.3_xerces-1.4,2652.943898,25893390.82,391338.6497,4909.869908,3050.783732,936.2283302,3190.24926,3190.24926,172.3911138,8408333.762,2747602.192,1775.065215,20890.42424,162.9528545,675.4707696,675.4707696,3312.693878,55056.20815,2470.073432,78.80559003,259.3937619,29.95558089,29.73142655,29.73142655,532.8162368,40956.17556,34.43742159,202.42506,34.61562204,34.60794698,59.10561028,59.10561028,62174.32706,1549.976384,1073.147181,944.5862807,57.66439234,33.68618428,34.44477343,26.2316202,34.27600707,32.73992497,33.89496339,34.6156459,27.88989109,24.92090454,23.8494888,33.68697168,34.61564351,24.91311708,27.80956064,17.69611902
,16710.19945,7222579.506,305872.6404,25946.08303,16921.62685,8677.362432,19893.16389,19893.16389,7775.267299,2495269.23,560330.5302,3025.458075,8045.990264,6536.433878,6699.005994,6699.005994,4545.852646,3931513.54,193126.6596,5240.044459,4197.347653,181.3844815,1653.859204,1653.859204,24628.68737,3328487.169,90717.10976,4660.390513,5125.616983,384.0167143,1565.444256,1565.444256,6839176.762,557732.8321,9829.277941,29232.00969,3720.639388,14106.52637,268.8353384,33.11444928,6789.078694,853.8128592,30.04984551,4.287430427,176.3974335,3.866399252,6.62815676,6.305685326,4.233740578,79.28651671,3.638449287,15.00619947
